,index,ДАТА ВРЕМЯ,КОЛИЧЕСТВО ЗАКАЗОВ
0,17664.0,2018-07-01 16:00:00,25.0
1,17665.0,2018-07-01 16:10:00,13.0
2,17666.0,2018-07-01 16:20:00,36.0
3,17667.0,2018-07-01 16:30:00,33.0
4,17668.0,2018-07-01 16:40:00,24.0
5,17669.0,2018-07-01 16:50:00,30.0
6,17670.0,2018-07-01 17:00:00,30.0
7,17671.0,2018-07-01 17:10:00,18.0
8,17672.0,2018-07-01 17:20:00,18.0
9,17673.0,2018-07-01 17:30:00,17.0
10,17674.0,2018-07-01 17:40:00,12.0
11,17675.0,2018-07-01 17:50:00,25.0
12,17676.0,2018-07-01 18:00:00,12.0
13,17677.0,2018-07-01 18:10:00,12.0
14,17678.0,2018-07-01 18:20:00,6.0
15,17679.0,2018-07-01 18:30:00,5.0
16,17680.0,2018-07-01 18:40:00,8.0
17,17681.0,2018-07-01 18:50:00,7.0
18,17682.0,2018-07-01 19:00:00,12.0
19,17683.0,2018-07-01 19:10:00,15.0
20,17684.0,2018-07-01 19:20:00,16.0
21,17685.0,2018-07-01 19:30:00,14.0
22,17686.0,2018-07-01 19:40:00,13.0
23,17687.0,2018-07-01 19:50:00,17.0
24,17688.0,2018-07-01 20:00:00,14.0
25,17689.0,2018-07-01 20:10:00,16.0
26,17690.0,2018-07-01 20:20:00,12.0
27,17691.0,2018-07-01 20:30:00,14.0
28,17692.0,2018-07-01 20:40:00,15.0
29,17693.0,2018-07-01 20:50:00,18.0
30,17694.0,2018-07-01 21:00:00,15.0
31,17695.0,2018-07-01 21:10:00,16.0
32,17696.0,2018-07-01 21:20:00,17.0
33,17697.0,2018-07-01 21:30:00,19.0
34,17698.0,2018-07-01 21:40:00,17.0
35,17699.0,2018-07-01 21:50:00,9.0
36,17700.0,2018-07-01 22:00:00,11.0
37,17701.0,2018-07-01 22:10:00,14.0
38,17702.0,2018-07-01 22:20:00,17.0
39,17703.0,2018-07-01 22:30:00,24.0
40,17704.0,2018-07-01 22:40:00,22.0
41,17705.0,2018-07-01 22:50:00,15.0
42,17706.0,2018-07-01 23:00:00,15.0
43,17707.0,2018-07-01 23:10:00,16.0
44,17708.0,2018-07-01 23:20:00,13.0
45,17709.0,2018-07-01 23:30:00,26.0
46,17710.0,2018-07-01 23:40:00,23.0
47,17711.0,2018-07-01 23:50:00,15.0
48,17712.0,2018-07-02 00:00:00,35.0
49,17713.0,2018-07-02 00:10:00,24.0
50,17714.0,2018-07-02 00:20:00,32.0
51,17715.0,2018-07-02 00:30:00,26.0
52,17716.0,2018-07-02 00:40:00,40.0
53,17717.0,2018-07-02 00:50:00,31.0
54,17718.0,2018-07-02 01:00:00,29.0
